tile,status,rows,cols,missing_path_gain_cells,height_covered_cells,seconds,error
tile_000177,ok,128,128,6131,7670,0.063,
tile_000178,ok,128,128,3424,5235,0.088,
tile_000179,ok,128,128,3478,5542,0.072,
tile_000180,ok,128,128,4195,6163,0.086,
tile_000181,ok,128,128,4247,6294,0.077,
tile_000182,ok,128,128,4781,7272,0.098,
tile_000183,ok,128,128,4038,4796,0.118,
tile_000184,ok,128,128,4709,5809,0.066,
tile_000185,ok,128,128,3665,4761,0.06,
tile_000186,ok,128,128,4285,5396,0.055,
tile_000187,ok,128,128,5008,6824,0.064,
tile_000188,ok,128,128,4074,6363,0.074,
tile_000189,ok,128,128,3426,4487,0.056,
tile_000190,ok,128,128,4896,7175,0.087,
tile_000191,ok,128,128,3749,5870,0.077,
tile_000192,ok,128,128,3661,5356,0.089,
tile_000193,ok,128,128,3660,5235,0.07,
tile_000194,ok,128,128,5487,8355,0.086,
tile_000195,ok,128,128,7281,10540,0.087,
tile_000196,ok,128,128,6048,9196,0.082,
tile_000197,ok,128,128,4768,7000,0.102,
tile_000198,ok,128,128,4566,7094,0.102,
tile_000199,ok,128,128,4885,7609,0.071,
tile_000200,ok,128,128,3408,4183,0.047,
tile_000201,ok,128,128,3960,6011,0.078,
tile_000202,ok,128,128,4678,6799,0.071,
tile_000203,ok,128,128,4360,5508,0.049,
tile_000204,ok,128,128,4405,5941,0.071,
tile_000205,ok,128,128,3587,5583,0.076,
tile_000206,ok,128,128,3358,4282,0.059,
tile_000207,ok,128,128,7397,9685,0.11,
tile_000208,ok,128,128,3696,4481,0.142,
tile_000209,ok,128,128,4236,5235,0.09,
tile_000210,ok,128,128,6323,9398,0.094,
tile_000211,ok,128,128,6626,9923,0.1,
tile_000212,ok,128,128,4443,6223,0.084,
tile_000213,ok,128,128,3931,6009,0.104,
tile_000214,ok,128,128,5415,8650,0.08,
tile_000215,ok,128,128,3620,5769,0.071,
tile_000216,ok,128,128,4793,7009,0.094,
tile_000217,ok,128,128,3376,4959,0.061,
tile_000218,ok,128,128,4200,5914,0.081,
tile_000219,ok,128,128,3955,4970,0.059,
tile_000220,ok,128,128,3708,4840,0.13,
tile_000221,ok,128,128,4101,5864,0.07,
tile_000222,ok,128,128,6158,8306,0.101,
tile_000223,ok,128,128,4485,6584,0.076,
tile_000224,ok,128,128,5544,8317,0.093,
tile_000225,ok,128,128,3318,5494,0.102,
tile_000226,ok,128,128,4175,6267,0.083,
tile_000227,ok,128,128,3990,5905,0.098,
tile_000228,ok,128,128,3689,5795,0.078,
tile_000229,ok,128,128,3701,5421,0.074,
tile_000230,ok,128,128,3665,5241,0.071,
tile_000231,ok,128,128,3949,4991,0.106,
tile_000232,ok,128,128,3764,6127,0.102,
tile_000233,ok,128,128,5337,7245,0.092,
tile_000234,ok,128,128,4392,6224,0.076,
tile_000235,ok,128,128,5449,7935,0.092,
tile_000236,ok,128,128,4835,6825,0.086,
tile_000237,ok,128,128,3348,5109,0.068,
tile_000238,ok,128,128,5399,8196,0.089,
tile_000239,ok,128,128,4172,6336,0.088,
tile_000240,ok,128,128,3829,5563,0.088,
tile_000241,ok,128,128,3474,5260,0.076,
tile_000242,ok,128,128,3266,4979,0.11,
tile_000243,ok,128,128,4422,7064,0.09,
tile_000244,ok,128,128,4315,4878,0.054,
tile_000245,ok,128,128,4694,5323,0.058,
tile_000246,ok,128,128,5303,6113,0.068,
tile_000247,ok,128,128,3405,4718,0.091,
tile_000248,ok,128,128,5057,7019,0.103,
tile_000249,ok,128,128,7921,11722,0.12,
tile_000250,ok,128,128,3500,5021,0.079,
tile_000251,ok,128,128,5552,8513,0.116,
tile_000252,ok,128,128,4637,7034,0.09,
tile_000253,ok,128,128,5036,7636,0.109,
tile_000254,ok,128,128,5512,8546,0.117,
tile_000255,ok,128,128,4285,6560,0.082,
tile_000256,ok,128,128,3348,3984,0.052,
tile_000257,ok,128,128,4275,5677,0.117,
tile_000258,ok,128,128,4339,6052,0.096,
tile_000259,ok,128,128,4225,5837,0.101,
tile_000260,ok,128,128,3916,5717,0.086,
tile_000261,ok,128,128,3331,4450,0.102,
tile_000262,ok,128,128,5393,5601,0.049,
tile_000263,ok,128,128,6069,6487,0.063,
tile_000264,ok,128,128,4215,5485,0.08,
tile_000265,ok,128,128,3571,5265,0.081,
tile_000266,ok,128,128,5009,7730,0.084,
tile_000267,ok,128,128,5077,7566,0.095,
tile_000268,ok,128,128,4742,6877,0.114,
tile_000269,ok,128,128,3556,5204,0.147,
tile_000270,ok,128,128,3975,5026,0.106,
tile_000271,ok,128,128,5255,7805,0.114,
tile_000272,ok,128,128,4706,7103,0.087,
tile_000273,ok,128,128,4378,5681,0.062,
tile_000274,ok,128,128,4657,7082,0.1,
tile_000275,ok,128,128,3346,4872,0.081,
tile_000276,ok,128,128,5954,8713,0.11,
tile_000277,ok,128,128,5578,8350,0.082,
tile_000278,ok,128,128,4254,5531,0.056,
tile_000279,ok,128,128,7753,10840,0.11,
tile_000280,ok,128,128,3460,5073,0.094,
tile_000281,ok,128,128,4070,5903,0.061,
tile_000282,ok,128,128,3418,4898,0.077,
tile_000283,ok,128,128,3496,4583,0.066,
tile_000284,ok,128,128,5433,7533,0.115,
tile_000285,ok,128,128,3782,5733,0.091,
tile_000286,ok,128,128,8811,11430,0.12,
tile_000287,ok,128,128,3735,5369,0.09,
tile_000288,ok,128,128,3811,5722,0.1,
tile_000289,ok,128,128,6294,9631,0.1,
tile_000290,ok,128,128,3752,5675,0.079,
tile_000291,ok,128,128,4750,6586,0.097,
tile_000292,ok,128,128,3822,5464,0.086,
tile_000293,ok,128,128,5454,7492,0.093,
tile_000294,ok,128,128,4064,5712,0.071,
tile_000295,ok,128,128,3960,5750,0.099,
tile_000296,ok,128,128,7837,10991,0.154,
tile_000297,ok,128,128,4088,6293,0.088,
tile_000298,ok,128,128,5809,8342,0.14,
tile_000299,ok,128,128,4919,7070,0.105,
tile_000300,ok,128,128,4590,7307,0.115,
tile_000301,ok,128,128,5851,8670,0.086,
tile_000302,ok,128,128,3618,4987,0.082,
tile_000303,ok,128,128,3421,4872,0.092,
tile_000304,ok,128,128,3688,5332,0.082,
tile_000305,ok,128,128,3506,5353,0.073,
tile_000306,ok,128,128,4264,6138,0.083,
tile_000307,ok,128,128,6058,8785,0.127,
tile_000308,ok,128,128,3277,4007,0.06,
tile_000309,ok,128,128,4169,6019,0.078,
tile_000310,ok,128,128,4494,6350,0.126,
tile_000311,ok,128,128,3630,5123,0.085,
tile_000312,ok,128,128,3263,5222,0.076,
tile_000313,ok,128,128,3857,5967,0.094,
tile_000314,ok,128,128,7743,11095,0.142,
tile_000315,ok,128,128,5943,9212,0.107,
tile_000316,ok,128,128,5080,7796,0.117,
tile_000317,ok,128,128,5074,7457,0.111,
tile_000318,ok,128,128,3875,5284,0.08,
tile_000319,ok,128,128,4437,6446,0.088,
tile_000320,ok,128,128,3573,4445,0.061,
tile_000321,ok,128,128,3730,4450,0.072,
